id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
544,451750,1295,191
545,452341,58,85
546,452676,1216,153
547,453468,1217,120
548,453717,1218,136
549,454016,1242,63
550,454016,1242,65
551,454016,1242,65
552,454034,1151,174
553,46709,184,98
554,46807,97,139
555,46967,174,84
556,470198,1096,54
557,47026,71,54
558,471433,1245,131
559,471435,1247,76
560,471436,1248,76
561,471437,1249,76
562,471566,1297,195
563,471567,1638,194
564,471568,1250,119
565,471569,1298,195
566,471570,1812,190
567,471570,1812,190
568,471572,1317,192
569,471626,1251,157
570,471627,1252,157
571,471628,1253,158
572,471631,1052,158
573,471632,1051,158
574,472479,334,172
575,472480,451,172
576,473498,1257,78
577,473594,1293,191
578,474940,1259,98
579,474941,1258,99
580,480601,1263,84
581,48376,941,39
582,48377,942,39
583,48378,943,39
584,48380,945,38
585,48381,946,38
586,487357,1270,16
587,487358,1266,14
588,487359,1271,16
589,487360,1267,16
590,487361,1268,14
591,487362,1269,16
592,487619,1272,15
593,487946,1273,71
594,507083,1274,177
595,507425,457,176
596,507426,458,176
597,507840,1328,184
598,507841,1327,184
599,507842,1279,111
600,507966,1280,185
601,508447,1283,145
602,508448,1284,152
603,508449,1285,151
604,508450,1281,21
605,508451,960,20
606,508452,1023,24
607,508453,1016,19
608,508454,1282,19
609,509676,434,79
610,509677,269,79
611,509678,578,79
612,509679,27,79
613,509680,433,79
614,509681,59,79
615,509682,783,79
616,509683,446,79
617,509698,446,79
618,509699,938,79
619,509700,904,79
620,509701,485,79
621,509702,435,141
622,509703,435,141
623,509706,1065,175
624,509707,801,175
625,509708,1034,175
626,509709,1066,175
627,510285,145,166
628,510363,1287,174
629,510364,962,20
630,510365,1021,20
631,510366,960,20
632,510367,1288,175
633,510368,1289,167
634,512174,1290,194
635,512185,67,100
636,512186,67,100
637,512187,67,100
638,512188,68,100
639,512189,68,100
640,512190,68,100
641,512191,776,100
642,512192,568,100
643,512193,567,100
644,512194,856,100
645,516409,1305,67
646,520145,63,89
647,520149,429,89
648,520150,1097,89
649,520151,70,89
650,520152,694,89
651,520153,871,89
652,520154,694,89
653,520155,138,89
654,520159,370,89
655,520160,870,89
656,520161,448,174
657,520162,194,89
658,520163,1325,67
659,520164,1326,71
660,520165,1333,68
661,520166,1329,178
662,520167,1330,168
663,520168,1331,178
664,520169,1332,172
665,526883,135,89
666,526884,870,89
667,526885,171,89
668,526886,370,89
669,526887,194,89
670,526895,1334,126
671,526896,1335,190
672,526897,1336,136
673,526898,1337,143
674,526899,67,100
675,526900,68,100
676,526901,193,100
677,526902,1332,172
678,526903,1332,172
679,528360,1338,134
680,528361,796,174
681,528362,58,79
682,528363,64,79
683,528364,60,79
684,528365,796,174
685,529615,796,174
686,529617,917,100
687,529618,495,100
688,529619,1339,167
689,529620,1340,26
690,529621,1341,26
691,529622,1342,26
692,529623,1343,26
693,529624,1344,26
694,529626,111,95
695,529627,756,95
696,529628,754,95
697,529629,755,95
698,529630,906,95
699,529631,959,95
700,529632,420,95
701,529633,958,95
702,529634,207,95
703,529635,607,95
704,529636,1259,95
705,529637,183,95
706,529638,493,95
707,52967,176,45
708,52973,103,108
709,532673,599,172
710,532674,1063,172
711,532675,334,172
712,532676,1332,172
713,532679,800,172
714,532680,151,172
715,532683,1346,131
716,532684,1347,142
717,532750,1016,19
718,532751,1016,19
719,532752,1016,19
720,532753,1016,19
721,532754,1016,19
722,53861,200,78
723,538960,1353,109
724,54850,87,130
725,550306,1365,190
726,550307,1362,72
727,550308,1363,75
728,550469,1367,73
729,551829,1369,190
730,551831,1371,98
731,551832,1372,97
732,55424,135,94
733,55426,166,108
734,554848,1373,132
735,564668,1377,82
736,564669,1378,84
737,564670,1379,90
738,571555,1592,100
739,571556,1593,100
740,571559,1388,6
741,571562,1414,6
742,571564,1419,6
743,571565,1436,6
744,571567,1509,6
745,571568,1547,6
746,571570,1550,6
747,571573,1422,6
748,571583,1545,6
749,573954,1596,111
750,576483,64,83
751,578343,1602,111
752,578344,1603,108
753,578345,1604,195
