idEstudioNormalizadoBI,EstudioNormalizadoBI,idCurso
1151,Maestría en Prevención de Riesgos Laborales,454034
184,Protección de datos,46709
97,P.A. en Peritaje Informático e Informática Forense,46807
174,Neuromarketing,46967
1096,Diseño de Interiores,470198
71,Diseño Digital,47026
1245,Máster de F.P. en Gestión Inmobiliaria,471433
1247,Didáctica de la Física y la Química en Educación Secundaria y Bachillerato,471435
1248,Educación Ambiental para el Desarrollo Sostenible,471436
1249,Didáctica de la Biología y la Geología en Educación Secundaria y Bachillerato,471437
1297,Maestría en Neuropsicología Clínica,471566
1638,Maestría en Dirección y Administración en Salud (Internaciones),471567
1250,E.U. en Ecografía del Aparato Digestivo y Genitourinario,471568
1298,Maestría en Psicología Forense,471569
1812,Maestría en Gestión de Tecnologías de la información (Internaciones),471570
1812,Maestría en Gestión de Tecnologías de la información (Internaciones),471570
1317,Maestría en Cibersecurity,471572
1251,Técnico Superior en Administración y Finanzas,471626
1252,Técnico Superior en Marketing y Publicidad,471627
1253,Técnico Superior en Administración de Sistemas Informáticos en Red,471628
1052,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,471631
1051,Técnico Superior en Desarrollo de Aplicaciones Web,471632
334,Maestría en Marketing Digital,472479
451,Maestría en Comunicación Corporativa,472480
1257,Atención Educativa y Prevención de Conductas Adictivas en Niños y Adolescentes,473498
1293,Maestría en Ingeniería Sanitaria con Especialización en Agua Potable,473594
1259,Derecho Sanitario,474940
1258,Seguridad Pública,474941
1263,Redes Sociales / Master in Social Media,480601
941,Curso inglés A2 intensivo,48376
942,Curso Inglés B1 Intensivo,48377
943,Curso Inglés B2 Intensivo,48378
945,Examen UNIR B1 Español,48380
946,Examen UNIR B2 Español,48381
1270,C. en Marketing Digital 360 (Newman),487357
1266,C. en Habilidades para Abogados,487358
1271,C. en Gestión Digital de Proyectos (Newman),487359
1267,C. en Gestión del Diseño,487360
1268,C. en Finanzas Corporativas,487361
1269,C. en Data & Business Analytics,487362
1272,C. en Inteligencia Emocional y Disciplina Positiva (Newman),487619
1273,Jornada Práctica de Transformación Digital en la Cadena Agroalimentaria: Tecnologías y Procesos,487946
1274,C.F.P. en Experto en Calidad y Seguridad del Paciente,507083
457,Maestría en Dirección y Administración en Salud,507425
458,Maestría en Dirección y Administración de Equipos de Salud,507426
1328,Licenciatura en Enfermería (Internaciones),507840
1327,Licenciatura en Cirujano Dentista (Internaciones),507841
1279,C.U. de Mediación en España y Latinoamérica,507842
1280,C. en Inteligencia Emocional y Disciplina Positiva (Internaciones),507966
1283,Licenciatura en Educación Básica Primaria,508447
1284,Especialización en Inteligencia de Negocio,508448
1285,Especialización en Educación y Orientación Familiar,508449
1281,Maestría en Finanzas (Newman),508450
960,Maestría en Administración de Negocios (MBA),508451
1023,Maestría en Derecho Penal,508452
1016,Maestría en Educación (Newman),508453
1282,Maestría en Liderazgos y Dirección de Centros Educativos (Newman),508454
434,Dirección del Comercio Exterior e Internacionalización de Empresas,509676
269,Comunicación y Marketing Político,509677
578,Comunicación Transmedia,509678
